collaboration_id,creator_id,campaign_id,brand_id,company_id,creator_name,niche,follower_count,platform_name,brand_name,industry,company_name,campaign_name,campaign_type,campaign_goal,start_date,end_date,budget,campaign_duration_days,content_type,payment_amount,metric_date,impressions,unique_reach,clicks,likes,shares,comments,leads,conversions,revenue_generated,is_verified,lead_quality_score,engagement_rate,ctr,unique_reach_rate,cpm,cpl,cpa,roas,conversion_rate,lead_conversion_rate,impressions_per_day,budget_utilisation_pct
1,293,1,1,1,Travis Harris,Beauty,1987488,Tiktok,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-04-10,95138,64168,12401,6688,1294,411,,,,True,,8.82,13.03,67.45,957.70,,,,,,1378.81,76.04
1,293,1,1,1,Travis Harris,Beauty,1987488,Tiktok,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-04-20,88662,56354,3154,13829,758,2536,,,,True,,19.31,3.56,63.56,1027.65,,,,,,1284.96,76.04
1,293,1,1,1,Travis Harris,Beauty,1987488,Tiktok,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-03-05,31387,23048,1743,475,121,386,,,,True,,3.13,5.55,73.43,2902.91,,,,,,454.88,76.04
1,293,1,1,1,Travis Harris,Beauty,1987488,Tiktok,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-05-01,216938,177434,10003,40979,9778,543,,,,True,,23.65,4.61,81.79,420.00,,,,,,3144.03,76.04
1,293,1,1,1,Travis Harris,Beauty,1987488,Tiktok,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-03-02,313502,227542,24772,47951,6228,1359,,,,True,,17.72,7.90,72.58,290.63,,,,,,4543.51,76.04
1,293,1,1,1,Travis Harris,Beauty,1987488,Tiktok,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-04-24,290995,244157,30412,16528,8200,6917,,,,True,,10.87,10.45,83.90,313.11,,,,,,4217.32,76.04
1,293,1,1,1,Travis Harris,Beauty,1987488,Instagram,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-04-26,283846,240018,33914,31828,6177,7786,,,,True,,16.13,11.95,84.56,321.00,,,,,,4113.71,76.04
1,293,1,1,1,Travis Harris,Beauty,1987488,Instagram,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-03-10,1024,812,148,131,33,5,,,,True,,16.50,14.45,79.30,88978.05,,,,,,14.84,76.04
1,293,1,1,1,Travis Harris,Beauty,1987488,Instagram,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-05-03,483794,336070,45332,82004,9495,5414,,,,True,,20.03,9.37,69.47,188.33,,,,,,7011.51,76.04
1,293,1,1,1,Travis Harris,Beauty,1987488,Instagram,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-03-26,307291,246510,15175,12497,8349,930,,,,True,,7.09,4.94,80.22,296.51,,,,,,4453.49,76.04
1,293,1,1,1,Travis Harris,Beauty,1987488,Instagram,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-03-18,366678,215200,10835,42436,5387,4960,,,,True,,14.39,2.95,58.69,248.48,,,,,,5314.17,76.04
1,293,1,1,1,Travis Harris,Beauty,1987488,Instagram,Bailey-Cook,Fitness,"Ross, Robinson and Bright",Bailey-Cook x Tech Savvy Users 2024,Boosted Content,Reach,2022-02-28,2022-05-08,119817.17,69,Reel,91113.52,2022-04-16,421008,271756,44413,31617,5812,9610,,,,True,,11.17,10.55,64.55,216.42,,,,,,6101.57,76.04
2,320,2,2,1,Mark Smith,Fitness,1798680,X (Twitter),Stein-Silva,Beauty,"Ross, Robinson and Bright",Summer 2023: Organized discrete installation Spotlight,Product Review,Conversion,2023-08-06,2023-10-07,49489.37,62,Blog,7874.19,2023-09-17,110927,76311,10419,1443,3871,2190,,106,26365.79,True,,6.76,9.39,,,,74.28,3.35,1.02,,1789.15,15.91
2,320,2,2,1,Mark Smith,Fitness,1798680,X (Twitter),Stein-Silva,Beauty,"Ross, Robinson and Bright",Summer 2023: Organized discrete installation Spotlight,Product Review,Conversion,2023-08-06,2023-10-07,49489.37,62,Blog,7874.19,2023-10-07,353191,212642,31013,50270,8815,4376,,536,236282.60,True,,17.97,8.78,,,,14.69,30.01,1.73,,5696.63,15.91
2,320,2,2,1,Mark Smith,Fitness,1798680,X (Twitter),Stein-Silva,Beauty,"Ross, Robinson and Bright",Summer 2023: Organized discrete installation Spotlight,Product Review,Conversion,2023-08-06,2023-10-07,49489.37,62,Blog,7874.19,2023-08-26,282907,158225,35785,38929,9601,3178,,2975,1241122.64,True,,18.28,12.65,,,,2.65,157.62,8.31,,4563.02,15.91
2,320,2,2,1,Mark Smith,Fitness,1798680,X (Twitter),Stein-Silva,Beauty,"Ross, Robinson and Bright",Summer 2023: Organized discrete installation Spotlight,Product Review,Conversion,2023-08-06,2023-10-07,49489.37,62,Blog,7874.19,2023-08-27,93396,74879,11549,18391,664,1096,,316,7740.23,True,,21.58,12.37,,,,24.92,0.98,2.74,,1506.39,15.91
3,360,2,2,1,Timothy Johnson,Food,176139,Pinterest,Stein-Silva,Beauty,"Ross, Robinson and Bright",Summer 2023: Organized discrete installation Spotlight,Product Review,Conversion,2023-08-06,2023-10-07,49489.37,62,Blog,4064.52,2023-09-18,47668,37890,4649,7798,564,1402,,451,16985.61,True,,20.48,9.75,,,,9.01,4.18,9.70,,768.84,8.21
