collaboration_id,platform_id,metric_date,impressions,unique_reach,clicks,likes,shares,comments,leads,conversions,revenue_generated,is_verified,lead_quality_score
1,2,2022-03-16,444921,335200,66236,63030,12063,3708,,,,True,
1,2,2022-03-08,238488,131308,16645,32884,7834,6143,,,,True,
1,2,2022-05-08,443178,376050,21434,61704,10575,5088,,,,True,
1,2,2022-04-02,463867,355491,7688,85580,12565,4717,,,,True,
1,2,2022-03-29,175982,101109,15848,2608,6535,5167,,,,True,
1,2,2022-04-04,39528,32614,1484,2867,161,756,,,,False,
1,2,2022-03-24,226965,179851,21097,29277,3944,1875,,,,True,
1,1,2022-04-12,416842,258868,8423,51685,9373,1573,,,,True,
1,1,2022-03-06,65944,37961,1219,1077,1078,1687,,,,True,
1,1,2022-04-11,67365,38303,8241,1374,2083,910,,,,True,
1,1,2022-05-05,29750,21353,1525,2453,169,678,,,,True,
2,3,2023-09-25,417395,283174,40416,12205,13730,8597,,498,133594.57,True,
2,3,2023-09-17,57126,33179,5331,1304,2266,377,,328,106906.55,True,
2,3,2023-09-14,221228,153625,21441,10027,1713,503,,460,138262.52,True,
2,3,2023-08-06,342181,265639,18329,60973,13344,1804,,692,127737.77,True,
2,3,2023-09-04,4737,3341,483,177,59,117,,29,1340.13,True,
2,3,2023-08-30,105552,78337,4029,2427,1084,1561,,291,71106.77,True,
2,3,2023-10-03,447197,323557,64767,56820,9621,2551,,3295,1314085.10,False,
2,4,2023-10-03,363947,225313,35429,20167,13464,10418,,1411,529462.32,True,
2,4,2023-08-06,97097,77466,1062,1153,1799,1659,,24,5553.50,True,
2,4,2023-09-15,479022,373474,7734,7492,5122,2898,,693,252973.83,True,
2,4,2023-08-20,291220,181659,10902,12654,4026,1145,,924,79350.25,True,
3,1,2023-08-27,160445,110203,9907,12955,1507,2612,,811,258820.77,True,
3,1,2023-10-04,373238,212601,11279,69269,14910,2447,,496,99022.70,True,
3,1,2023-08-19,334022,208217,5500,42435,3429,5520,,445,78892.58,True,
3,3,2023-09-30,306727,250212,12052,7811,7380,6208,,190,50185.58,True,
3,3,2023-08-14,338703,262610,21134,36779,3309,7337,,1210,304898.93,True,
3,3,2023-09-29,248885,156922,16459,46049,7370,513,,489,57428.28,True,
3,3,2023-09-07,208065,128080,14461,16987,1810,5291,,475,28825.03,True,
3,3,2023-10-06,155190,106049,9190,18770,3693,2950,,444,108524.47,True,
4,5,2024-10-01,123073,77497,2538,22310,1899,1913,473,,,True,44
4,5,2024-09-29,486308,300695,12936,38148,13497,5193,2830,,,True,31
4,5,2024-10-03,428090,334143,54950,19787,13098,2139,14493,,,True,33
4,5,2024-09-21,4974,3884,246,377,247,141,62,,,False,50
4,5,2024-09-23,343432,241705,40031,13175,7032,2603,9498,,,True,28
4,5,2024-09-28,308258,242226,35778,45399,7277,7387,4589,,,True,44
4,1,2024-09-27,303280,246301,16007,45547,7730,6097,2219,,,True,46
4,1,2024-10-05,360037,279312,42051,50836,5646,6488,8069,,,True,35
4,1,2024-10-08,81078,68362,12096,9563,3255,2229,2340,,,True,49
4,1,2024-09-21,107562,89772,2034,8973,2609,1133,590,,,True,43
4,1,2024-09-26,49385,29701,5159,2160,2049,913,292,,,True,26
4,1,2024-09-23,202819,128819,8645,27445,898,540,1552,,,True,33
5,6,2024-10-03,251241,194194,16194,45645,2793,6593,2063,,,True,58
