collaboration_id,platform_id
1,2
2,6
3,3
4,2
4,4
5,4
5,1
6,6
6,4
7,3
7,5
8,4
8,3
9,3
10,5
10,2
11,3
11,6
12,4
13,6
14,5
14,1
15,2
16,2
17,2
18,1
18,2
19,1
20,1
21,6
22,5
22,1
23,5
24,6
24,3
25,5
26,1
27,2
28,2
29,6
30,1
31,6
31,2
32,1
33,4
34,6
34,5
35,4
36,6
37,5
37,2
38,3
38,5
39,4
40,5
41,1
42,2
43,2
43,5
44,6
45,6
46,2
47,3
48,2
49,6
49,5
50,5
50,4
51,2
51,4
52,3
52,2
53,6
54,3
54,2
55,1
56,4
57,6
57,1
58,1
58,4
59,6
60,3
61,6
61,5
62,5
63,6
63,3
64,3
64,4
65,4
65,3
66,3
66,5
67,2
68,1
69,4
69,6
70,3
70,4
71,4
71,6
72,2
73,4
73,1
74,3
75,6
75,2
76,3
76,1
77,6
77,2
78,5
79,2
80,1
81,4
81,2
82,3
82,2
83,4
84,2
84,3
85,2
85,6
86,5
86,4
87,4
87,2
88,6
88,1
89,1
89,6
90,6
90,4
91,2
91,6
92,2
92,4
93,1
93,3
94,3
95,6
95,5
96,5
96,1
97,5
98,3
98,6
99,3
100,1
100,6
101,3
101,4
102,2
103,6
103,2
104,6
104,4
105,5
105,3
106,6
106,2
107,3
108,6
109,2
110,5
110,4
111,3
112,4
113,5
114,1
114,5
115,4
115,5
116,1
116,4
117,2
117,3
118,3
119,4
120,2
121,3
122,5
122,4
123,3
124,4
124,3
125,6
126,5
127,3
128,6
129,5
130,2
130,4
131,6
131,1
132,3
132,2
133,3
134,1
135,1
135,3
136,2
136,4
137,5
137,2
138,3
138,1
139,4
139,3
140,6
141,3
141,2
142,3
143,1
144,3
145,3
145,2
146,6
146,4
147,6
148,6
148,3
149,2
149,3
150,6
151,3
151,5
152,5
153,6
154,4
155,1
156,2
157,5
158,6
159,1
160,3
160,6
161,4
162,1
162,4
163,5
163,1
164,6
164,4
165,5
166,2
167,2
167,1
168,2
168,6
169,6
170,1
171,4
172,1
173,2
174,2
175,3
175,4
176,1
176,5
177,4
177,1
178,5
178,1
179,2
180,2
181,5
182,1
182,3
183,5
184,5
184,2
185,2
185,6
186,6
187,3
187,5
188,5
188,4
189,2
190,3
190,2
191,3
191,4
192,6
193,4
193,1
194,5
194,6
195,2
195,6
196,1
197,1
197,2
198,5
199,6
199,2
200,3
200,4
201,6
202,5
203,2
203,5
204,3
205,2
206,3
207,4
208,6
208,3
209,4
209,5
210,4
211,5
211,6
212,6
212,2
213,5
214,1
215,5
216,1
217,1
217,3
218,4
218,5
219,1
220,3
221,6
222,4
223,1
223,3
224,6
224,1
225,1
225,6
226,2
226,3
227,2
227,1
228,4
229,1
230,1
231,4
232,3
232,1
233,1
233,2
234,1
235,6
235,4
236,1
237,4
237,6
238,2
238,1
239,6
240,3
