collaboration_id,campaign_id,creator_id,content_type,payment_amount
1,1,355,Blog,9068.12
2,1,208,Post,4611.72
3,1,445,Live,5474.86
4,1,337,Blog,14450.81
5,2,412,Story,306.75
6,2,155,Reel,12257.93
7,2,45,Blog,14560.75
8,2,65,Reel,3217.52
9,3,333,Post,12647.14
10,3,124,Live,2944.63
11,4,395,Post,6386.00
12,4,238,Reel,2574.97
13,4,76,Story,11107.84
14,5,494,Post,8819.87
15,5,249,Story,4492.99
16,5,242,Post,858.74
17,5,11,Reel,1629.69
18,6,213,Live,8978.01
19,6,435,Live,14985.49
20,6,254,Reel,7363.70
21,6,378,Post,7749.00
22,7,479,Post,3555.40
23,7,348,Reel,7971.80
24,7,464,Post,8688.41
25,7,419,Live,1046.31
26,7,445,Blog,6315.35
27,8,60,Blog,5266.79
28,8,254,Blog,6599.83
29,8,319,Story,4391.36
30,8,481,Story,7091.68
31,9,119,Blog,5153.38
32,9,260,Live,12816.46
33,9,113,Blog,9888.68
34,9,301,Story,13259.28
35,10,492,Blog,9822.25
36,10,214,Video,11959.99
37,10,427,Story,9365.45
38,10,482,Video,10391.39
39,11,342,Post,2023.54
40,12,81,Post,1603.47
41,12,311,Post,14151.52
42,13,156,Reel,14988.99
43,13,121,Video,13225.50
44,13,108,Video,10186.23
45,13,286,Story,12436.44
46,14,17,Reel,9301.69
47,14,414,Reel,8473.52
48,14,33,Post,3941.55
49,14,173,Video,11794.80
50,14,221,Reel,11574.41
51,15,137,Live,9103.91
52,15,459,Reel,10625.43
53,15,78,Post,12004.90
54,15,437,Reel,14622.43
55,15,354,Live,9183.87
56,16,422,Live,725.34
57,17,86,Blog,1859.08
58,18,467,Story,10952.40
59,18,186,Blog,6678.62
60,19,256,Blog,5519.68
61,19,376,Story,1932.45
62,19,446,Story,6642.72
63,19,51,Post,11561.37
64,19,79,Reel,3755.21
65,20,175,Reel,4063.63
66,20,147,Blog,11347.19
67,20,259,Video,9478.66
68,20,88,Story,2359.01
69,21,216,Post,6259.80
70,21,404,Post,13481.17
71,21,117,Live,11939.65
72,21,71,Video,14161.73
73,21,411,Post,2269.21
74,22,368,Live,14160.28
75,23,174,Video,6084.60
76,24,223,Post,11411.97
77,24,32,Blog,13845.53
78,25,463,Reel,14668.22
79,25,295,Blog,12006.15
80,26,499,Blog,10541.78
81,26,152,Video,10851.11
82,26,215,Video,13647.54
83,26,206,Reel,12422.35
84,26,454,Live,9194.98
85,27,359,Post,9693.80
86,27,207,Live,9402.96
87,28,334,Blog,6127.14
88,28,227,Story,13226.52
89,28,358,Reel,650.86
90,28,177,Video,5910.90
91,28,455,Blog,11126.78
92,29,267,Video,3284.64
93,29,277,Live,8321.61
94,30,175,Reel,13365.76
95,30,388,Live,8928.30
96,30,326,Story,12500.21
97,30,82,Video,10924.99
98,30,12,Live,1745.58
99,31,431,Video,3970.37
100,32,182,Reel,6786.18
101,32,64,Live,11079.19
102,32,25,Post,5150.81
103,32,388,Story,12100.27
104,32,334,Live,8527.40
105,33,433,Video,10037.14
106,33,305,Blog,8634.21
107,33,120,Story,10743.83
108,33,180,Live,11088.93
109,33,154,Reel,4984.92
110,34,99,Reel,2283.64
111,34,422,Post,12443.72
112,34,399,Reel,1474.50
113,34,185,Post,13338.79
114,34,233,Post,3300.29
115,35,190,Blog,7941.21
116,36,287,Video,8806.13
117,36,266,Blog,6408.99
118,36,399,Post,10366.37
119,36,203,Post,11002.58
120,36,447,Post,12374.80
121,37,259,Post,10696.14
122,37,66,Story,14523.67
123,38,442,Post,7153.00
124,38,271,Blog,2436.91
125,38,61,Live,5603.05
126,38,356,Reel,9063.84
127,38,109,Post,1744.01
128,39,293,Live,2384.24
129,39,149,Video,4643.38
130,39,21,Video,4618.58
131,40,15,Live,6384.18
132,40,406,Video,13346.95
133,40,74,Story,2827.85
134,40,73,Blog,7383.03
135,41,281,Video,1106.71
136,42,214,Post,8638.58
137,43,232,Post,12533.45
138,43,461,Live,2078.86
139,43,173,Story,7620.98
140,43,401,Post,11449.01
141,43,194,Blog,6791.21
142,44,46,Blog,9391.48
143,44,410,Post,3569.05
144,44,320,Post,5151.07
145,45,491,Blog,13361.64
146,46,331,Story,10637.41
147,46,46,Live,9488.63
148,46,444,Blog,4701.84
149,47,330,Live,1368.77
150,48,278,Live,7874.13
151,48,296,Post,7589.32
152,48,388,Reel,1892.22
153,48,28,Live,2778.18
154,48,491,Reel,4196.94
155,49,126,Blog,12599.87
156,49,425,Live,6719.02
157,50,311,Post,12943.42
158,50,165,Reel,5165.35
159,50,206,Story,6282.55
160,50,302,Live,4829.00
161,50,24,Video,1456.27
162,51,278,Story,4351.74
163,52,131,Reel,2397.99
164,52,394,Post,10211.27
165,53,315,Video,2803.72
166,54,153,Post,1571.29
167,55,212,Video,3943.22
168,55,458,Reel,872.98
169,56,386,Live,3623.72
170,56,306,Live,11310.61
171,57,487,Video,7025.87
172,57,59,Post,1075.33
173,57,138,Reel,6171.66
174,57,32,Story,13714.65
175,58,138,Live,14455.77
176,59,127,Live,9808.11
177,60,156,Post,6745.14
178,60,291,Blog,7556.44
179,61,192,Story,11752.15
180,61,277,Live,14293.93
181,62,232,Live,4409.82
182,62,22,Story,108.09
183,62,1,Post,4172.21
184,62,417,Video,12608.37
185,62,238,Post,14988.70
186,63,300,Live,4291.54
187,63,431,Story,11113.83
188,64,36,Reel,12474.42
189,64,154,Blog,8391.54
190,64,46,Video,13186.36
191,64,203,Story,9195.64
192,64,358,Video,13270.58
193,65,326,Blog,6845.50
194,65,134,Story,9967.93
195,65,386,Video,5190.28
196,66,492,Blog,2092.51
197,66,307,Reel,9170.92
198,66,169,Reel,13531.53
199,66,9,Blog,2685.69
200,67,459,Post,8118.16
201,67,357,Blog,9803.87
202,67,361,Live,561.12
203,67,251,Blog,6733.13
204,67,391,Reel,5359.62
205,68,424,Story,12603.27
206,68,308,Blog,14758.55
207,68,184,Reel,6994.12
208,68,199,Story,6724.21
209,69,381,Video,10240.26
210,69,11,Blog,5431.53
211,70,418,Live,9416.02
212,71,120,Video,648.26
213,71,253,Post,13577.16
214,72,108,Post,1753.10
215,72,4,Video,8579.62
216,72,101,Post,2640.11
217,72,421,Story,9931.59
218,72,327,Live,10115.42
219,73,290,Blog,1069.23
220,73,90,Video,14010.09
221,73,34,Story,13226.95
222,73,302,Blog,11755.57
223,73,66,Story,12730.24
224,74,497,Blog,10198.24
225,75,130,Reel,14074.57
226,75,349,Blog,10129.19
227,75,287,Blog,872.76
228,75,453,Video,6544.97
229,75,233,Post,4183.13
230,76,239,Reel,13268.66
231,76,254,Story,799.77
232,76,186,Post,8032.91
233,76,265,Video,176.87
234,76,389,Story,5087.12
235,77,414,Post,14370.86
236,77,13,Story,3033.46
237,77,378,Video,4731.01
238,77,116,Blog,9416.89
239,77,354,Reel,7251.50
240,78,304,Blog,14032.41
241,79,127,Story,14386.16
