creator_id,platform_id
1,3
1,2
2,3
3,2
3,4
4,3
4,6
5,6
5,5
5,1
6,6
6,3
7,2
7,1
7,5
8,3
8,2
9,6
9,5
10,3
10,1
10,6
11,5
11,2
12,2
13,2
13,4
14,5
14,3
14,4
15,5
15,4
15,2
16,6
17,1
17,5
17,4
18,6
18,3
18,1
19,1
19,6
19,2
20,5
20,2
20,6
21,5
21,4
22,6
23,6
24,4
24,1
24,6
25,4
26,5
27,4
27,5
28,5
29,6
29,3
30,1
30,4
30,3
31,6
32,5
33,1
34,3
34,1
35,1
35,6
35,4
36,3
37,2
37,6
38,6
38,4
38,3
39,4
39,6
40,1
40,5
41,6
42,1
42,2
43,4
43,5
43,2
44,2
44,1
44,5
45,4
45,5
46,5
46,4
47,2
48,3
48,2
49,2
49,1
50,6
51,5
51,1
52,2
53,1
54,1
54,4
54,6
55,6
56,4
57,2
57,5
58,1
59,5
60,2
60,5
61,5
61,6
62,3
62,2
62,6
63,6
64,2
64,4
64,3
65,1
65,5
66,6
66,2
66,4
67,4
67,1
67,3
68,6
68,4
68,3
69,4
69,6
69,2
70,4
70,2
71,4
71,2
71,5
72,6
72,2
73,1
73,5
74,4
74,5
75,2
75,4
75,6
76,2
76,3
77,1
77,4
77,3
78,5
79,2
79,1
79,3
80,6
80,5
81,1
81,6
81,2
82,6
82,5
82,2
83,2
83,3
84,1
84,2
85,6
86,6
87,2
87,5
88,2
88,4
88,6
89,3
89,6
89,4
90,5
90,3
91,3
91,6
92,4
92,6
92,1
93,4
93,3
93,2
94,3
94,4
95,5
96,6
97,1
98,5
98,6
99,6
99,4
99,3
100,2
101,2
101,4
102,2
102,4
102,3
103,4
103,6
104,2
104,3
105,2
106,5
106,4
106,2
107,6
107,1
107,5
108,6
109,1
110,2
110,6
111,6
112,1
113,5
114,3
114,1
115,6
115,5
115,4
116,4
116,1
116,5
117,5
117,4
117,1
118,5
119,3
119,5
119,6
120,5
121,6
121,4
121,2
122,1
123,2
123,6
123,5
124,5
124,3
124,6
125,4
125,1
126,4
126,6
127,2
127,6
127,3
128,1
128,6
128,5
129,4
129,6
130,4
130,1
130,5
131,2
131,1
131,4
132,6
132,3
133,1
133,5
133,6
134,2
135,5
135,4
135,3
136,1
137,3
137,5
137,1
138,3
139,2
140,2
140,4
140,1
141,2
141,5
142,5
143,6
143,5
144,4
144,2
145,6
145,1
145,3
146,1
147,2
147,1
148,5
148,6
149,4
149,3
149,1
150,3
150,4
150,5
151,3
152,4
152,6
152,2
153,5
153,4
153,1
154,3
154,2
154,1
155,3
156,4
157,6
157,2
157,4
158,3
158,1
159,1
160,4
160,3
161,1
161,2
162,2
163,4
163,5
164,5
164,4
164,1
165,1
166,5
166,1
167,5
167,3
167,4
168,3
169,4
169,1
170,5
170,2
170,6
171,4
171,2
171,5
172,3
172,6
173,2
173,1
174,4
175,4
175,3
176,1
176,3
177,2
177,4
178,5
178,2
178,4
179,2
180,1
180,4
181,5
181,4
182,4
182,3
183,6
183,5
184,3
185,5
185,2
186,3
186,2
187,3
187,6
188,6
188,4
188,2
189,4
189,3
190,3
190,1
191,2
191,5
191,6
192,5
192,1
192,4
193,2
193,4
193,3
194,1
194,4
194,5
195,6
196,2
196,3
197,2
197,4
197,5
198,4
199,4
199,5
199,6
200,5
200,4
200,1
201,6
201,5
202,6
202,1
202,5
203,6
204,3
204,2
204,1
205,6
205,4
205,3
206,1
206,6
207,3
208,5
209,5
209,6
209,2
210,3
210,4
211,6
211,5
212,5
212,2
212,3
213,4
214,3
215,1
215,6
216,2
216,3
216,5
217,4
217,2
218,4
218,3
218,6
219,4
220,6
220,4
220,3
221,3
222,6
223,1
224,6
224,1
225,2
225,6
225,5
226,2
226,3
226,4
227,2
227,4
228,2
228,6
228,4
229,1
229,5
230,4
231,4
231,6
231,1
232,2
232,6
232,3
233,1
233,5
233,6
234,2
234,3
234,5
235,4
236,3
237,4
237,5
237,3
238,4
238,5
238,6
239,1
239,3
239,5
240,5
240,2
241,6
241,3
241,1
242,2
242,3
242,1
243,3
244,2
245,6
245,2
246,4
246,6
246,2
247,4
247,6
247,2
248,6
248,5
249,6
249,2
249,5
250,3
250,2
251,3
252,5
252,1
253,1
253,4
254,2
255,5
255,6
256,4
256,6
256,5
257,6
257,4
258,2
258,1
259,1
259,2
259,3
260,3
261,5
262,2
262,4
263,6
263,4
263,1
264,1
264,3
264,5
265,1
265,4
265,2
266,1
266,2
267,1
267,4
268,3
268,1
269,1
269,2
270,6
271,6
271,3
271,4
272,5
273,2
274,1
275,3
275,5
275,6
276,5
276,2
276,3
277,3
277,6
277,5
278,6
278,1
278,2
279,1
279,3
280,2
280,6
280,5
281,6
282,2
282,4
283,2
283,5
284,3
284,4
284,5
285,1
285,6
286,5
286,3
287,3
287,4
287,5
288,5
288,1
289,1
289,4
289,3
290,5
291,2
291,4
292,4
293,3
293,6
294,5
294,6
295,5
296,3
296,1
297,1
298,4
298,1
298,5
299,4
300,1
300,4
301,6
302,6
303,2
303,3
304,6
305,3
305,1
306,6
306,2
307,4
308,3
308,2
308,4
309,1
309,6
309,5
310,4
311,2
312,2
312,5
312,4
313,1
314,3
314,1
314,4
315,2
315,4
315,1
316,4
317,6
318,1
319,3
319,6
320,4
321,6
322,2
322,1
322,5
323,6
323,2
323,4
324,6
324,2
325,6
325,2
325,4
326,6
326,4
326,2
327,1
328,1
329,6
329,4
329,3
330,3
330,2
331,3
332,1
332,2
332,3
333,1
333,3
333,2
334,5
334,6
334,2
335,4
335,3
335,1
336,4
337,1
337,2
338,6
338,5
339,5
340,3
341,2
341,4
342,4
342,3
342,2
343,1
343,6
344,1
344,6
344,3
345,1
346,4
347,3
347,5
347,4
348,6
348,4
349,6
350,5
350,6
350,2
351,1
351,3
352,5
353,2
354,3
354,4
354,1
355,6
355,4
356,2
356,1
356,6
357,4
358,4
359,5
359,1
359,3
360,6
360,2
360,1
361,6
362,6
363,2
364,3
364,5
365,6
365,3
365,2
366,2
366,3
367,1
367,6
367,3
368,3
368,5
369,3
370,5
370,1
370,4
371,5
371,3
372,4
373,2
373,3
373,6
374,1
374,5
375,6
375,1
375,2
376,5
376,1
376,6
377,2
378,4
379,4
379,2
380,1
381,6
381,4
381,2
382,2
382,4
383,3
383,6
383,1
384,3
384,1
384,5
385,2
386,1
386,4
386,6
387,3
387,6
388,1
388,5
389,1
389,3
390,3
391,3
391,5
391,2
392,3
392,5
393,2
393,5
394,2
395,4
396,2
397,3
397,1
397,6
398,6
399,6
399,3
400,2
401,2
401,4
401,5
402,2
403,3
403,1
403,5
404,5
405,6
405,3
406,6
406,1
407,1
407,5
407,2
408,4
408,1
408,5
409,6
409,2
410,3
411,3
411,4
412,6
412,3
412,5
413,3
413,2
414,2
415,5
416,2
417,2
418,4
418,3
419,1
419,5
420,2
420,4
421,4
421,3
422,1
423,6
424,6
424,5
425,2
426,2
426,1
427,2
427,3
427,4
428,1
428,3
428,5
429,1
430,4
430,5
431,5
431,2
431,1
432,1
432,2
433,1
434,2
435,2
436,3
436,1
437,5
437,3
437,1
438,1
439,6
440,2
440,1
441,1
441,6
442,1
442,2
443,4
443,6
443,5
444,4
445,4
445,2
445,3
446,2
447,3
447,4
448,1
449,5
449,6
449,2
450,3
450,4
450,5
451,4
451,1
451,5
452,4
452,2
453,2
453,5
454,6
455,1
455,4
455,3
456,5
456,4
457,5
457,6
458,4
458,3
459,1
460,5
460,2
461,3
462,4
463,3
463,5
463,2
464,1
465,6
466,3
467,6
467,1
467,2
468,4
468,3
468,2
469,2
470,3
470,6
470,1
471,6
471,3
471,2
472,2
472,4
472,3
473,4
474,1
475,2
476,2
476,1
476,4
477,3
478,2
478,6
478,3
479,2
479,3
479,1
480,2
481,6
481,2
481,1
482,3
482,1
482,6
483,6
483,4
483,1
484,3
484,6
485,2
486,4
486,6
486,3
487,6
488,6
488,5
488,3
489,6
490,2
490,4
490,3
491,6
491,3
491,2
492,6
493,6
494,4
494,5
494,1
495,5
496,5
496,2
497,5
497,1
497,4
498,3
499,1
499,2
499,3
500,2
500,1
