creator_id,creator_name,niche,follower_count,post_count
1,Sarah Drake,Fashion,248105,1675
2,Carol Palmer,Beauty,1384213,2242
3,Christopher Fry,Lifestyle,871642,242
4,Tracy Fitzgerald,Food,1092246,1501
5,Mr. Daniel Freeman,Lifestyle,1316577,1830
6,Jacob Williams,Beauty,431892,1113
7,Terry Ward,Gaming,1950470,1199
8,Jesse Williams,Lifestyle,1852269,2880
9,Mrs. Michele Boyd,Lifestyle,259648,138
10,Sandy Baker,Food,1493522,668
11,Carrie Valdez,Travel,1160193,76
12,Matthew Houston,Tech,200473,940
13,Jamie Solomon,Fitness,972726,501
14,Heather Parrish,Gaming,1050169,2955
15,Mr. Larry Shaw,Travel,1072181,2909
16,Christopher Jones,Travel,876346,1996
17,Christine Lopez,Lifestyle,516140,1890
18,Mitchell Wilson,Gaming,809438,800
19,Robert Cortez,Gaming,1816995,305
20,Mr. Daniel Martin,Travel,1625417,1719
21,Alison Williams,Fashion,1964260,2099
22,Candace Soto,Travel,1725816,30
23,Kenneth Brown,Travel,1527639,1242
24,Christopher Mullen,Lifestyle,1819582,628
25,Kristy Smith,Lifestyle,1134485,2003
26,Mary Campbell,Fashion,702177,2280
27,Jerry Haney,Tech,959926,1338
28,Carolyn Greer,Food,1467760,998
29,Rebecca Hoover,Tech,494815,1702
30,Matthew Baker,Beauty,672264,1957
31,Grace Chavez,Tech,814665,2738
32,Crystal Cruz,Gaming,1043779,171
33,Dale Heath,Gaming,1058380,2437
34,Jennifer Hernandez,Fashion,1828893,431
35,John Mendez,Lifestyle,214110,2174
36,Richard Gordon,Lifestyle,37186,2979
37,John Anderson,Gaming,864787,2701
38,Samantha Prince,Gaming,161926,1943
39,Marie Boyd,Travel,715014,2572
40,Andrew Moreno,Tech,1367806,348
41,Robert Clarke,Fashion,1792489,2782
42,Kevin Figueroa,Tech,669086,2587
43,Melissa Davis,Lifestyle,1834519,2236
44,John Hall,Beauty,1299906,300
45,Diane Mcdowell,Food,1328640,2823
46,Colin Fletcher,Travel,482073,390
47,Laura Wilson,Tech,211450,2615
48,Matthew Watts,Fitness,935461,701
49,Jack Moore,Travel,1899617,138
50,Dawn Wyatt,Beauty,685262,249
51,Jacob Hill,Travel,756752,1555
52,Nicole Gutierrez,Tech,310281,1020
53,Karen Wood,Tech,1191837,2812
54,Dawn Parker,Gaming,361481,737
55,Michael Fitzgerald,Fitness,1283196,1586
56,Mary Adkins,Food,1048683,2408
57,Michael Martin,Gaming,491934,1908
58,James Morgan,Travel,968789,1065
59,Melissa Mann,Beauty,1890147,1925
60,Vincent Smith,Travel,1426053,2258
61,Charles Frost,Gaming,159899,1829
62,Austin Walker,Fashion,1237227,1245
63,Andrew Cruz,Tech,1452692,1044
64,Miss Kelly Dawson,Lifestyle,1777730,1257
65,Theresa Wilkins,Food,811760,1999
66,Jessica Harris,Fitness,502456,1582
67,Regina Mitchell,Fashion,1210467,1231
68,Kyle Black,Travel,51010,2716
69,Christopher Johnson,Tech,580627,53
70,Aaron Moore,Beauty,1914702,2503
71,Penny Gomez MD,Lifestyle,1751589,1192
72,Kelly Mclaughlin,Food,1278107,1463
73,Brandon Mitchell,Food,1340084,798
74,Suzanne Bailey,Travel,1426375,2972
75,Destiny Obrien,Gaming,1322531,417
76,Timothy Andrews,Beauty,652879,1825
77,Jason Rodriguez,Beauty,1220454,1514
78,Edward Arroyo,Gaming,194023,1228
79,Tina Walter,Fashion,1572580,1721
80,Laura Benson,Gaming,426097,561
81,Kristine Carrillo,Fashion,1118278,2075
82,Tonya Ellis,Travel,1746627,693
83,Kevin Johnson,Travel,1921899,1993
84,Austin Schultz,Travel,1570648,1407
85,Megan Hall MD,Fitness,987162,328
86,Kelli Smith,Gaming,1586570,944
87,Danielle Davis,Tech,1778654,2302
88,Samantha Jones,Fashion,194378,1636
89,Karen Gomez,Beauty,559609,2217
90,Debra Valentine,Fitness,958755,1529
91,Susan Porter,Travel,1230911,1580
92,Nicolas Salas,Fashion,232218,2784
93,Dale Wright,Food,993758,122
94,Brittney Rodriguez,Fashion,1924430,2518
95,Megan Alvarado,Food,1363225,278
96,Pamela Weaver,Lifestyle,1912124,2891
97,John Oliver,Travel,1366553,1692
98,William Prince PhD,Fitness,298133,205
99,William Moon IV,Beauty,643298,2037
100,Kenneth Brown,Fitness,208826,981
101,Karen Fernandez,Gaming,820049,1878
102,Jennifer Parks,Fashion,1411111,2872
103,William Wolfe,Tech,1236741,2996
104,Michael Smith,Gaming,1861847,1719
105,Kevin Nguyen,Fitness,1753381,2024
106,Debbie Dunn,Tech,1974337,1165
107,John Austin,Beauty,1452623,1537
108,Jonathan Clark,Food,934841,1841
109,Jacqueline Dickerson,Food,1799009,1505
110,Christopher Anderson,Fitness,1442975,1524
111,Crystal Garcia,Fashion,131982,1650
112,David Reynolds,Travel,403057,520
113,Charles Haley,Lifestyle,197253,2734
114,Robert Thompson,Food,1350751,2639
115,Dr. Samuel Holmes DDS,Beauty,111070,1386
116,Elizabeth Hart,Food,269081,2332
117,Jennifer Vaughn,Food,148885,2290
118,Robert Woods,Food,1234734,904
119,Joanna Cook,Food,694039,624
120,Justin Frederick,Beauty,586487,612
121,Alejandro Martinez,Gaming,1137913,1046
122,Tracey Gonzalez,Gaming,235532,2727
123,Mariah Thompson,Beauty,281411,80
124,Heather Nunez,Fashion,1661717,994
125,Dr. Steve James,Fashion,38095,733
126,Mark Thomas,Travel,114888,539
127,Robert Rogers,Tech,1108281,485
128,Laura Sweeney,Fitness,1003760,1856
129,Christopher Perez,Fashion,1081338,2451
130,Eddie Adams,Fitness,952924,2083
131,Denise Wallace,Food,1987680,2539
132,Heidi Matthews,Beauty,1530139,2718
133,Jennifer White,Travel,965584,2655
134,Nicholas Stanley,Beauty,132560,1981
135,Mercedes Miller,Tech,898960,2830
136,Brian Brown,Fitness,1033168,2937
137,Kimberly Johnson,Lifestyle,159121,350
138,Phillip Miller,Fashion,1280692,627
139,Christopher Pena,Fitness,269642,1146
140,Ellen Wright,Fashion,803814,2466
141,Mark Anderson,Travel,956510,2090
142,Alyssa Alvarado,Tech,212992,2894
143,Erika Alvarez,Fitness,1793435,2701
144,Kimberly Nelson,Food,906922,1869
145,Wayne Wolfe,Food,872829,1408
146,Kyle Welch,Lifestyle,841197,1723
147,Kristy Mills,Fitness,660461,1768
