collaboration_id,platform_id,metric_date,impressions,clicks,likes,shares,comments
1,2,2024-12-30,267026,603,41628,874,2493
1,2,2024-05-30,133541,5095,22712,4594,2750
1,2,2024-10-18,81388,6083,11737,2902,1663
1,2,2024-02-02,198170,6047,40526,2770,869
2,6,2024-12-01,26352,12816,15905,3927,1007
2,6,2024-02-05,448810,3809,34867,459,1117
2,6,2024-07-24,358942,16164,18103,861,972
2,6,2024-01-07,255076,10380,15045,4583,1253
2,6,2024-03-07,342965,18455,21260,1221,60
3,3,2024-04-22,406701,12677,11467,3292,2712
3,3,2024-01-31,267214,9448,43543,3276,943
3,3,2024-10-21,434700,15566,43077,2998,1586
4,2,2024-06-09,383491,9121,31234,373,1485
4,2,2024-06-13,132320,18684,4795,1432,2569
4,2,2024-12-05,35780,12118,5697,3512,2955
4,4,2024-02-06,41128,18604,44150,2808,1356
4,4,2024-08-08,142906,604,37357,753,2365
4,4,2024-07-13,311101,6981,38757,2634,1851
4,4,2024-10-10,260888,11772,12145,498,1959
4,4,2024-01-05,425804,4542,1220,2082,696
5,4,2024-03-22,350023,538,4690,4069,398
5,4,2024-03-11,382687,2992,9838,2523,305
5,4,2024-04-15,300169,8033,49306,3527,2545
5,4,2024-07-28,243118,17481,37158,3723,1667
5,4,2024-01-23,297453,17194,31131,1771,308
5,4,2024-03-30,224036,16124,31741,1900,332
5,1,2024-04-04,69628,14397,42761,3194,2769
5,1,2024-01-16,241872,11162,45607,4729,2177
5,1,2024-10-02,326417,15619,42546,4467,1726
5,1,2024-07-02,124877,6865,41380,4688,2865
5,1,2024-12-24,162383,6702,7585,4941,380
5,1,2024-11-23,404182,12574,21579,2534,776
5,1,2024-01-22,269194,18997,41772,2748,749
6,6,2024-03-04,76381,1546,10420,996,2405
6,6,2024-02-06,185035,820,22908,3988,1553
6,6,2024-05-21,148762,18499,41978,3741,1168
6,6,2024-09-05,4111,1686,108,1154,1728
6,4,2024-08-25,207930,10082,20292,4467,2730
6,4,2024-08-11,260762,13187,19542,4694,1839
6,4,2024-11-01,236502,10192,5864,3443,829
6,4,2024-07-19,467392,11438,27989,281,1057
6,4,2024-06-22,17815,805,26683,2006,1450
6,4,2024-06-15,366993,7278,30848,1636,159
6,4,2024-11-03,388009,12702,17881,4633,1752
7,3,2024-04-05,243980,14513,5212,905,2605
7,3,2024-10-17,341325,11784,9031,4668,2855
7,3,2024-07-15,117279,10571,13523,410,2850
7,3,2024-07-11,311698,15318,47151,70,739
7,3,2024-08-29,217306,6812,27985,2460,966
7,3,2024-02-16,447888,10339,40274,2380,2153
7,5,2024-10-13,441161,18725,22010,3228,1433
7,5,2024-05-25,217527,14291,16283,2450,1358
7,5,2024-05-16,459073,9623,48875,1818,1264
7,5,2025-01-01,135450,2441,20041,998,1625
7,5,2024-10-22,487040,19824,38636,2008,2493
7,5,2024-05-09,437642,8519,18104,4742,1851
7,5,2024-05-31,119206,18888,17701,3363,1085
8,4,2024-09-26,398471,18444,11258,1201,924
8,4,2024-01-26,311571,10804,32831,3446,530
8,4,2024-11-07,379534,15681,47448,1795,2362
8,3,2024-11-24,404483,17167,38213,2213,413
8,3,2024-05-08,83176,3445,552,4682,1829
8,3,2024-03-09,32588,5729,7576,3926,182
8,3,2024-09-05,171849,9924,34015,2853,794
8,3,2024-05-30,330957,13576,24313,2763,1940
8,3,2024-10-31,69659,4167,2473,2007,46
8,3,2024-01-28,158715,9164,37168,3550,1251
9,3,2024-02-02,78294,7371,37160,452,117
9,3,2024-03-14,470911,11707,7018,1122,475
9,3,2024-04-16,385242,15171,21874,3228,1464
9,3,2024-09-30,371160,19543,25694,1564,1359
9,3,2024-10-29,177385,15495,181,4554,1767
9,3,2024-02-15,484259,18847,39973,1794,286
10,5,2024-12-27,189503,18155,19582,1554,1067
